,Unnamed: 0,Name,Party,Color,MP,Twitter_id,Følgere,y,Tweet Count
146,6,Mai Mercado,Det Konservative Folkeparti (KF),Blue,Medlem af Folketinget,@_MaiMercado,14.353,1,835
147,7,Søren Pape Poulsen,Det Konservative Folkeparti (KF),Blue,Medlem af Folketinget,@SorenPape,61.615,1,1231
148,8,Lars Boje Mathiesen,Nye Borgerlige (NB),Blue,Medlem af Folketinget,@LBMathiesen,4.644,1,490
149,9,Peter Seier Christensen,Nye Borgerlige (NB),Blue,Medlem af Folketinget,@peter_seier,1.285,1,120
150,10,Mette Thiesen,Nye Borgerlige (NB),Blue,Medlem af Folketinget,@ThiesenMette,4.016,1,379
151,11,Pernille Vermund,Nye Borgerlige (NB),Blue,Medlem af Folketinget,@PernilleVermund,16.282,1,2016
152,12,Henrik Dahl,Liberal Alliance (LA),Blue,Medlem af Folketinget,@SociologenHD,8.050,1,1205
153,13,Ole Birk Olesen,Liberal Alliance (LA),Blue,Medlem af Folketinget,@olebirkolesen,12.526,1,424
154,14,Alex Vanopslagh,Liberal Alliance (LA),Blue,Medlem af Folketinget,@AlexVanopslagh,16.964,1,711
155,15,Torsten Gejl,Alternativet (ALT),Red,Medlem af Folketinget,@TorstenGejl,4.527,0,731
156,16,Jens Rohde,Kristendemokraterne (KD),Blue,Medlem af Folketinget,@rohde_jens,12.774,1,608
157,17,Simon Emil Ammitzbøll-Bille,Uden for folketingsgrupperne (UFG),Blue,Medlem af Folketinget,@ammitzbollbille,38.392,1,499
158,18,Uffe Elbæk,Uden for folketingsgrupperne (UFG),Red,Medlem af Folketinget,@uffeelbaek,None,0,514
159,19,Lars Løkke Rasmussen,Uden for folketingsgrupperne (UFG),Blue,Medlem af Folketinget,@larsloekke,198.345,1,1226
160,20,Sikandar Siddique,Uden for folketingsgrupperne (UFG),Red,Medlem af Folketinget,@SikandaSIDDIQUE,4.494,0,1333
161,21,Susanne Zimmer,Uden for folketingsgrupperne (UFG),Red,Medlem af Folketinget,@Susanne_Zimmer_,1.570,0,1102
162,22,Orla Østerby,Uden for folketingsgrupperne (UFG),Blue,Medlem af Folketinget,@orlaosterby,596,1,51
